Nome,Atribuir,Data,Status
Otimização,,,A iniciar
Implementação,,,A iniciar
Solicitar arquivos e informações,,,A iniciar
Layout,,,Feito
Infraestrutura,,,A iniciar
Alterações finais,,,A iniciar
Enviar para aprovação,,,A iniciar
Reunião de Briefing,,,A iniciar
Pós venda,,,Em andamento
