Nome,Atribuir,Data,Status
Copy,,,A iniciar
Layout,,,A iniciar
Implementação,,,A iniciar
Pós venda,,,A iniciar
Solicitar arquivos e informações,,,A iniciar
Reunião de Briefing,,,A iniciar
Infraestrutura,,,A iniciar
