Nome,Atribuir,Data,Status
Reunião de Briefing,,,Feito
Solicitar arquivos e informações,,,Feito
Infraestrutura,,,A iniciar
Copy,,,Feito
Layout,,,Feito
Implementação,,,Em andamento
Otimização,,,A iniciar
Pós venda,João Pedro,,A iniciar
