Nome,Atribuir,Data,Status
Pós venda,João Pedro,,A iniciar
Otimização,,,A iniciar
Infraestrutura,,,A iniciar
Copy,,,Feito
Solicitar arquivos e informações,,,Feito
Reunião de Briefing,,,Feito
Implementação,,,Em andamento
Layout,,,Feito
