Nome,Atribuir,Data,Status
Reunião de Briefing / Onboarding,João Pedro,,Feito
Solicitar arquivos e informações,,,Feito
Infraestrutura,,,A iniciar
Layout,,,Em andamento
Implementação,,,A iniciar
Pós venda,,,A iniciar
Copy - Pente fino com Luan,,,Feito
