Nome,Atribuir,Data,Status
Layout,,,Em andamento
Solicitar arquivos e informações,,,Feito
Implementação,,,A iniciar
Reunião de Briefing / Onboarding,João Pedro,,Feito
Copy - Pente fino com Luan,,,Feito
Pós venda,,,A iniciar
Infraestrutura,,,A iniciar
