Nome,Atribuir,Data,Status
Implementação,,,Em andamento
Reunião de Briefing,,,Feito
Layout,,,Feito
Solicitar arquivos e informações,,,Feito
Infraestrutura,,,Em andamento
Pós venda,,,A iniciar
