Nome,Atribuir,Data,Status
Reunião de Briefing,,,Feito
Layout,,,Feito
Solicitar arquivos e informações,,,Feito
Infraestrutura,,,Feito
Implementação,,,Feito
Pós venda,,,A iniciar
