Nome,Atribuir,Data,Status
Solicitar arquivos e informações,,,Feito
Implementação,,,Feito
Layout,,,Feito
Reunião de Briefing,,,Feito
Pós venda,,,A iniciar
Infraestrutura,,,Feito
