Nome,Atribuir,Data,Status,URL
Implementação,,,Em andamento,
Layout,,,Feito,
Solicitar arquivos e informações,,,Feito,
Pós venda,,,A iniciar,
Reunião de Briefing,,,Feito,
Otimização,,,A iniciar,
Infraestrutura,,,Em andamento,
Copy,Luan Lima,,Feito,https://docs.google.com/document/d/1sd_ZSXE_d-4A8b6IQTjV5XYyl_t31OQyCblwdtesZt8/edit?usp=sharing
