Nome,Atribuir,Data,Status,URL
Reunião de Briefing,,,Feito,
Copy,Luan Lima,,Feito,https://docs.google.com/document/d/1sd_ZSXE_d-4A8b6IQTjV5XYyl_t31OQyCblwdtesZt8/edit?usp=sharing
Solicitar arquivos e informações,,,Feito,
Implementação,,,Em andamento,
Infraestrutura,,,Em andamento,
Layout,,,Feito,
Otimização,,,A iniciar,
Pós venda,,,A iniciar,
