Nome,Atribuir,Data,Status
Layout,,,A iniciar
Implementação,,,A iniciar
Solicitar arquivos e informações,,,Feito
Reunião de Briefing,,,Feito
Copy,,,Em andamento
Pós venda,,,A iniciar
Infraestrutura,,,A iniciar
