Nome,Atribuir,Data,Status
Layout,,,A iniciar
Implementação,,,A iniciar
Reunião de Briefing,,,A iniciar
Infraestrutura,,,A iniciar
Pós venda,,,A iniciar
Solicitar arquivos e informações,,,A iniciar
Copy,,,A iniciar
