Nome,Atribuir,Data,Status
Layout,,,Em andamento
Implementação,,,A iniciar
Otimização,,,A iniciar
Infraestrutura,,,A iniciar
Reunião de Briefing,,,A iniciar
Alterações finais,,,A iniciar
Solicitar arquivos e informações,,,A iniciar
Enviar para aprovação,,,A iniciar
