Nome,Atribuir,Data,Status
Reunião de Briefing,,,A iniciar
Solicitar arquivos e informações,,,A iniciar
Copy,,,Em andamento
Infraestrutura - Páginas de link,,,Em andamento
Layout,,,A iniciar
Implementação,,,A iniciar
Pós venda,,,A iniciar
