Nome,Atribuir,Data,Status
Layout,,,A iniciar
Implementação,,,A iniciar
Reunião de Briefing,,,A iniciar
Solicitar arquivos e informações,,,A iniciar
Pós venda,,,A iniciar
Copy,,,Em andamento
Infraestrutura - Páginas de link,,,Em andamento
