Nome,Atribuir,Data,Status
Infraestrutura,,,A iniciar
Otimização,,,A iniciar
Alterações finais,,,A iniciar
Layout,,,Em andamento
Enviar para aprovação,,,A iniciar
Reunião de Briefing,,,A iniciar
Implementação,,,A iniciar
Solicitar arquivos e informações,,,A iniciar
