Nome,Atribuir,Data,Status
Layout,,,Feito
Implementação,,,Feito
Pós venda,,,A iniciar
Solicitar arquivos e informações,,,Feito
Reunião de Briefing,,,Feito
Infraestrutura,,,Feito
