Nome,Atribuir,Data,Status
Layout,,,A iniciar
Copy,,,Feito
Implementação,,,A iniciar
Otimização,,,A iniciar
Reunião de Briefing,,,Feito
Pós venda,,,A iniciar
Infraestrutura,,,A iniciar
Solicitar arquivos e informações,,,Em andamento
